dataset,shapelet_num,shapelet_len,crop_len,train_acc,test_acc
Strawberry,40,58,40,0.970636,0.956757
Strawberry,40,58,58,0.977162,0.943243
Strawberry,40,82,16,0.959217,0.954054
Strawberry,40,82,41,0.983687,0.954054
Strawberry,40,82,57,0.978793,0.945946
Strawberry,40,82,82,0.975530,0.945946
Strawberry,50,35,7,0.985318,0.954054
Strawberry,50,35,17,0.977162,0.956757
Strawberry,50,35,24,0.986949,0.959459
Strawberry,50,35,35,0.983687,0.970270
Strawberry,50,58,11,0.970636,0.943243
Strawberry,50,58,29,0.972268,0.948649
Strawberry,50,58,40,0.965742,0.951351
Strawberry,50,58,58,0.983687,0.948649
Strawberry,50,82,16,0.965742,0.956757
Strawberry,50,82,41,0.970636,0.951351
Strawberry,50,82,57,0.978793,0.962162
Strawberry,50,82,82,0.969005,0.959459
Strawberry,60,35,7,0.980424,0.951351
Strawberry,60,35,17,0.980424,0.967568
Strawberry,60,35,24,0.980424,0.964865
Strawberry,60,35,35,0.980424,0.956757
Strawberry,60,58,11,0.980424,0.959459
Strawberry,60,58,29,0.977162,0.951351
Strawberry,60,58,40,0.973899,0.954054
Strawberry,60,58,58,0.986949,0.954054
Strawberry,60,82,16,0.975530,0.962162
Strawberry,60,82,41,0.972268,0.959459
Strawberry,60,82,57,0.980424,0.954054
Strawberry,60,82,82,0.977162,0.964865
ToeSegmentation1,40,41,8,1.000000,0.921053
ToeSegmentation1,40,41,20,1.000000,0.938596
ToeSegmentation1,40,41,28,1.000000,0.947368
ToeSegmentation1,40,41,41,0.975000,0.942982
ToeSegmentation1,40,69,13,1.000000,0.934211
ToeSegmentation1,40,69,34,1.000000,0.951754
ToeSegmentation1,40,69,48,1.000000,0.960526
ToeSegmentation1,40,69,69,0.950000,0.925439
ToeSegmentation1,40,96,19,1.000000,0.960526
ToeSegmentation1,40,96,48,1.000000,0.929825
ToeSegmentation1,40,96,67,0.950000,0.929825
ToeSegmentation1,40,96,96,1.000000,0.947368
ToeSegmentation1,50,41,8,1.000000,0.934211
ToeSegmentation1,50,41,20,0.975000,0.951754
ToeSegmentation1,50,41,28,1.000000,0.978070
ToeSegmentation1,50,41,41,1.000000,0.938596
ToeSegmentation1,50,69,13,1.000000,0.947368
ToeSegmentation1,50,69,34,0.975000,0.942982
ToeSegmentation1,50,69,48,0.975000,0.956140
ToeSegmentation1,50,69,69,1.000000,0.947368
ToeSegmentation1,50,96,19,0.975000,0.956140
ToeSegmentation1,50,96,48,1.000000,0.960526
ToeSegmentation1,50,96,67,1.000000,0.964912
ToeSegmentation1,50,96,96,0.950000,0.938596
ToeSegmentation1,60,41,8,1.000000,0.929825
ToeSegmentation1,60,41,20,0.975000,0.938596
ToeSegmentation1,60,41,28,0.975000,0.921053
ToeSegmentation1,60,41,41,1.000000,0.942982
ToeSegmentation1,60,69,13,0.900000,0.947368
ToeSegmentation1,60,69,34,0.975000,0.942982
ToeSegmentation1,60,69,48,1.000000,0.934211
ToeSegmentation1,60,69,69,0.950000,0.938596
ToeSegmentation1,60,96,19,1.000000,0.956140
ToeSegmentation1,60,96,48,1.000000,0.960526
ToeSegmentation1,60,96,67,0.975000,0.942982
ToeSegmentation1,60,96,96,1.000000,0.942982
TwoLeadECG,40,12,2,0.869565,0.923617
TwoLeadECG,40,12,6,0.869565,0.928007
TwoLeadECG,40,12,8,0.913043,0.913960
TwoLeadECG,40,12,12,0.913043,0.930641
TwoLeadECG,40,20,4,0.956522,0.972783
TwoLeadECG,40,20,10,0.956522,0.918349
TwoLeadECG,40,20,14,0.869565,0.921861
TwoLeadECG,40,20,20,0.869565,0.885865
TwoLeadECG,40,28,5,0.956522,0.961370
TwoLeadECG,40,28,14,0.956522,0.910448
TwoLeadECG,40,28,19,0.869565,0.932397
TwoLeadECG,40,28,28,0.869565,0.915716
TwoLeadECG,50,12,2,0.956522,0.947322
TwoLeadECG,50,12,6,0.956522,0.919227
TwoLeadECG,50,12,8,0.956522,0.959614
TwoLeadECG,50,12,12,0.913043,0.924495
TwoLeadECG,50,20,10,0.869565,0.929763
TwoLeadECG,50,20,14,0.869565,0.910448
TwoLeadECG,50,20,20,0.913043,0.909570
TwoLeadECG,50,28,5,0.913043,0.899034
TwoLeadECG,50,28,14,0.869565,0.959614
TwoLeadECG,50,28,19,0.913043,0.956980
TwoLeadECG,60,12,2,0.913043,0.920105
TwoLeadECG,60,12,6,0.956522,0.952590
TwoLeadECG,60,12,8,0.869565,0.955224
TwoLeadECG,60,12,12,0.956522,0.939421
TwoLeadECG,60,20,4,0.913043,0.925373
TwoLeadECG,60,20,10,0.826087,0.926251
TwoLeadECG,60,20,14,0.956522,0.913960
TwoLeadECG,60,20,20,0.869565,0.852502
TwoLeadECG,60,28,5,0.869565,0.938543
TwoLeadECG,60,28,14,0.913043,0.964004
TwoLeadECG,60,28,19,0.956522,0.978929
Wafer,40,22,4,0.997000,0.985724
Wafer,40,22,11,0.991000,0.984426
Wafer,40,22,15,1.000000,0.989779
Wafer,40,22,22,0.999000,0.990591
Wafer,40,38,7,1.000000,0.995620
Wafer,40,38,19,0.998000,0.992537
Wafer,40,38,26,1.000000,0.994160
Wafer,40,38,38,0.998000,0.989130
Wafer,40,53,10,0.998000,0.994322
Wafer,40,53,26,0.996000,0.993997
Wafer,40,53,37,0.994000,0.993835
Wafer,40,53,53,0.994000,0.990266
Wafer,50,22,4,0.975000,0.964471
Wafer,50,22,15,0.999000,0.991726
Wafer,50,22,22,0.999000,0.990428
Wafer,50,38,7,0.999000,0.993997
Wafer,50,38,19,0.997000,0.991564
Wafer,50,38,26,0.998000,0.994971
Wafer,50,38,38,0.997000,0.989130
Wafer,50,53,10,0.997000,0.994809
Wafer,50,53,26,1.000000,0.996269
Wafer,50,53,37,0.997000,0.992213
Wafer,50,53,53,0.997000,0.992051
Wafer,60,22,4,0.999000,0.989779
Wafer,60,22,11,0.996000,0.988644
Wafer,60,22,15,1.000000,0.991888
Wafer,60,22,22,0.999000,0.991564
Wafer,60,38,7,0.996000,0.992213
Wafer,60,38,19,1.000000,0.993024
Wafer,60,38,26,0.999000,0.992051
Wafer,60,38,38,0.998000,0.989455
Wafer,60,53,10,0.999000,0.994646
Wafer,60,53,26,0.998000,0.995133
Wafer,60,53,53,0.992000,0.991077
WormsTwoClass,40,135,27,0.977901,0.753247
WormsTwoClass,40,135,67,0.917127,0.753247
WormsTwoClass,40,135,94,0.939227,0.701299
WormsTwoClass,40,135,135,0.972376,0.753247
WormsTwoClass,40,225,45,0.977901,0.805195
WormsTwoClass,40,225,112,0.994475,0.805195
WormsTwoClass,40,225,157,0.983425,0.870130
WormsTwoClass,40,225,225,0.988950,0.792208
WormsTwoClass,40,315,63,0.988950,0.831169
WormsTwoClass,40,315,157,0.988950,0.701299
WormsTwoClass,50,135,27,0.977901,0.753247
WormsTwoClass,50,135,67,0.966851,0.805195
WormsTwoClass,50,135,94,0.972376,0.779221
WormsTwoClass,50,135,135,0.944751,0.792208
WormsTwoClass,50,225,45,0.906077,0.818182
WormsTwoClass,50,225,157,0.977901,0.805195
WormsTwoClass,50,225,225,1.000000,0.779221
WormsTwoClass,50,315,63,0.994475,0.792208
WormsTwoClass,50,315,220,0.712707,0.779221
WormsTwoClass,50,315,315,0.977901,0.766234
WormsTwoClass,60,135,27,0.983425,0.805195
WormsTwoClass,60,135,67,0.988950,0.818182
WormsTwoClass,60,135,135,0.994475,0.844156
WormsTwoClass,60,225,225,0.983425,0.805195
WormsTwoClass,60,315,63,0.983425,0.766234
WormsTwoClass,60,315,157,0.977901,0.844156
WormsTwoClass,60,315,220,0.977901,0.792208
Yoga,40,63,12,0.990000,0.844000
Yoga,40,63,31,0.986667,0.839333
